title,release_year,results
My Name Is Khan,2010,"[{'_id': '61e596578a5a6a599f46540f', 'id': 'tt1188996', 'primaryImage': {'id': 'rm396267264', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_.jpg', 'caption': {'plainText': 'Kajol and Shah Rukh Khan in My Name Is Khan (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'My Name Is Khan', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'My Name Is Khan', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 11, 'month': 2, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Videocracy,2010,[]
Valentine's Day,2010,"[{'_id': '61e5893a971a4a15d64323b9', 'id': 'tt0817230', 'primaryImage': {'id': 'rm2572389888', 'width': 750, 'height': 1200, 'url': 'https://m.media-amazon.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_.jpg', 'caption': {'plainText': ""Julia Roberts, Kathy Bates, Patrick Dempsey, Hector Elizondo, Queen Latifah, Anne Hathaway, Jessica Alba, Jessica Biel, Jamie Foxx, Jennifer Garner, Ashton Kutcher, Bradley Cooper, Eric Dane, and Taylor Lautner in Valentine's Day (2010)"", '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': ""Valentine's Day"", '__typename': 'TitleText'}, 'originalTitleText': {'text': ""Valentine's Day"", '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 11, 'month': 2, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Wolfman,2010,"[{'_id': '61e588d6e1a8ddbd96430c1b', 'id': 'tt0780653', 'primaryImage': {'id': 'rm483692032', 'width': 510, 'height': 755, 'url': 'https://m.media-amazon.com/images/M/MV5BOTUyODEyMDIyM15BMl5BanBnXkFtZTcwNTYxMzg5Mg@@._V1_.jpg', 'caption': {'plainText': 'US one-sheet', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Wolfman', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Wolfman', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 11, 'month': 2, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Celine: Through the Eyes of the World,2010,"[{'_id': '61e5ac3695801a78bc4bcc1b', 'id': 'tt1570982', 'primaryImage': {'id': 'rm1615499008', 'width': 981, 'height': 1449, 'url': 'https://m.media-amazon.com/images/M/MV5BMTMxNjg3MjQ4NF5BMl5BanBnXkFtZTcwNzU4ODkxMw@@._V1_.jpg', 'caption': {'plainText': 'Celine: Through the Eyes of the World (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Celine: Through the Eyes of the World', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Celine: Through the Eyes of the World', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 17, 'month': 2, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Lourdes,2010,[]
The Ghost Writer,2010,"[{'_id': '61e5937195801a78bc459b2f', 'id': 'tt1139328', 'primaryImage': {'id': 'rm4205481728', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1_.jpg', 'caption': {'plainText': 'Pierce Brosnan and Ewan McGregor in The Ghost Writer (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Ghost Writer', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Ghost Writer', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 20, 'month': 5, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Shutter Island,2010,"[{'_id': '61e592f5d8f3c0931e457b7f', 'id': 'tt1130884', 'primaryImage': {'id': 'rm1814907136', 'width': 2026, 'height': 3000, 'url': 'https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg', 'caption': {'plainText': 'Leonardo DiCaprio in Shutter Island (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Shutter Island', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Shutter Island', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 18, 'month': 2, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Good Guy,2010,[]
Happy Tears,2010,[]
The Red Baron,2010,[]
Cop Out,2010,"[{'_id': '61e5a1b778c012aa344926f5', 'id': 'tt1385867', 'primaryImage': {'id': 'rm3270545152', 'width': 1016, 'height': 1500, 'url': 'https://m.media-amazon.com/images/M/MV5BMTk0NzcxMjYwNF5BMl5BanBnXkFtZTcwMTI4MTIxMw@@._V1_.jpg', 'caption': {'plainText': 'Bruce Willis and Tracy Morgan in Cop Out (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Cop Out', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Cop Out', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 18, 'month': 3, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Crazies,2010,"[{'_id': '61e5852fef99b1c543423bb7', 'id': 'tt0455407', 'primaryImage': {'id': 'rm2052296192', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMjAzMDU5OTg0NV5BMl5BanBnXkFtZTcwNDQ4MjcwMw@@._V1_.jpg', 'caption': {'plainText': 'Anthony Sellers in The Crazies (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Crazies', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Crazies', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 22, 'month': 4, 'year': 2010, '__typename': 'ReleaseDate'}}]"
The Art of the Steal,2010,[]
Defendor,2010,[]
Easier with Practice,2010,[]
Formosa Betrayed,2010,[]
A Prophet,2010,[]
The Yellow Handkerchief,2010,[]
Alice in Wonderland,2010,"[{'_id': '61e58c0bd735dff3f943ce21', 'id': 'tt1014759', 'primaryImage': {'id': 'rm1086033408', 'width': 408, 'height': 604, 'url': 'https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_.jpg', 'caption': {'plainText': 'Johnny Depp and Alan Rickman in Alice in Wonderland (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Alice in Wonderland', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Alice in Wonderland', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 5, 'month': 3, 'year': 2010, '__typename': 'ReleaseDate'}}, {'_id': '61e5b126ef99b1c5434cf3fd', 'id': 'tt2049386', 'primaryImage': {'id': 'rm2423970560', 'width': 648, 'height': 864, 'url': 'https://m.media-amazon.com/images/M/MV5BMTQwMDA2MjA3MV5BMl5BanBnXkFtZTcwODU3NTQ5OQ@@._V1_.jpg', 'caption': {'plainText': 'Alice in Wonderland (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Alice in Wonderland', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Alice in Wonderland', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': None, 'month': None, 'year': 2011, '__typename': 'ReleaseDate'}}]"
Brooklyn's Finest,2010,[]
Strawberry Shortcake: The Berryfest Princess Movie,2010,[]
Green Zone,2010,"[{'_id': '61e58a9ee1a8ddbd96437447', 'id': 'tt0947810', 'primaryImage': {'id': 'rm3250949632', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTYzMTA1NDMyNV5BMl5BanBnXkFtZTcwMzUwODY5Mg@@._V1_.jpg', 'caption': {'plainText': 'Matt Damon in Green Zone (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Green Zone', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Green Zone', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 15, 'month': 4, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Our Family Wedding,2010,"[{'_id': '61e59d1ea66e59642348015d', 'id': 'tt1305583', 'primaryImage': {'id': 'rm3634597632', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTI4MDU1MzY3N15BMl5BanBnXkFtZTcwNTYzMTUxMw@@._V1_.jpg', 'caption': {'plainText': 'Forest Whitaker, Carlos Mencia, America Ferrera, and Lance Gross in Our Family Wedding (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Our Family Wedding', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Our Family Wedding', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 12, 'month': 3, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Remember Me,2010,"[{'_id': '61e5a2bf78c012aa34496957', 'id': 'tt1403981', 'primaryImage': {'id': 'rm401248000', 'width': 1382, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BOTA4MTg1ODkwNF5BMl5BanBnXkFtZTcwMzE5ODAxMw@@._V1_.jpg', 'caption': {'plainText': 'Pierce Brosnan, Lena Olin, Chris Cooper, Emilie de Ravin, and Robert Pattinson in Remember Me (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'Remember Me', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'Remember Me', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 1, 'month': 4, 'year': 2010, '__typename': 'ReleaseDate'}}]"
She's Out of My League,2010,"[{'_id': '61e58935b597b91eb94322e5', 'id': 'tt0815236', 'primaryImage': {'id': 'rm2585234944', 'width': 1383, 'height': 2048, 'url': 'https://m.media-amazon.com/images/M/MV5BMTkwMTY5ODA1MF5BMl5BanBnXkFtZTcwODYyNzAxMw@@._V1_.jpg', 'caption': {'plainText': ""Jay Baruchel and Alice Eve in She's Out of My League (2010)"", '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': ""She's Out of My League"", '__typename': 'TitleText'}, 'originalTitleText': {'text': ""She's Out of My League"", '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 3, 'month': 6, 'year': 2010, '__typename': 'ReleaseDate'}}]"
Children of Invention,2010,[]
Stolen,2010,[]
The Bounty Hunter,2010,"[{'_id': '61e58d7da66e596423442709', 'id': 'tt1038919', 'primaryImage': {'id': 'rm845123072', 'width': 963, 'height': 1432, 'url': 'https://m.media-amazon.com/images/M/MV5BMTUwNjY4MjY0MV5BMl5BanBnXkFtZTcwNTA2OTYwMw@@._V1_.jpg', 'caption': {'plainText': 'Jennifer Aniston and Gerard Butler in The Bounty Hunter (2010)', '__typename': 'Markdown'}, '__typename': 'Image'}, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Bounty Hunter', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Bounty Hunter', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 1, 'month': 4, 'year': 2010, '__typename': 'ReleaseDate'}}, {'_id': '61e5a6bc971a4a15d64a6ab9', 'id': 'tt1472211', 'primaryImage': None, 'titleType': {'text': 'Movie', 'id': 'movie', 'isSeries': False, 'isEpisode': False, '__typename': 'TitleType'}, 'titleText': {'text': 'The Bounty Hunter', '__typename': 'TitleText'}, 'originalTitleText': {'text': 'The Bounty Hunter', '__typename': 'TitleText'}, 'releaseYear': {'year': 2010, 'endYear': None, '__typename': 'YearRange'}, 'releaseDate': {'day': 7, 'month': 4, 'year': 2010, '__typename': 'ReleaseDate'}}]"
