title,release_year,imdb_id,poster,tmdb_id,cast,director,genres,production_companies
The Boneyard,1991,tt0101497,https://m.media-amazon.com/images/M/MV5BMTkzNjYxOTcxMF5BMl5BanBnXkFtZTcwMTU2NDgxMQ@@._V1_.jpg,58864,EdNelson DeborahRose NormanFell JamesEustermann DeniseYoung WillieStratford,JamesCummins,Horror Fantasy Comedy,PrismEntertainment
The Borrower,1991,tt0101502,https://m.media-amazon.com/images/M/MV5BOTg0NDRjMTAtOGZlYy00M2ZmLWIyZDItYjQ4OWIxODhlMzM5XkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_.jpg,40221,RaeDawnChong DonGordon TomTowles AntonioFargas NeilGiuntoli LarryPennell,JohnMcNaughton,ScienceFiction Comedy Horror,CannonGroup VisionPictures
Boyz n the Hood,1991,tt0101507,https://m.media-amazon.com/images/M/MV5BZmRjNDI5NTgtOTIwMC00MzJhLWI4ZTYtMmU0ZTE3ZmRkZDNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,650,LaurenceFishburne CubaGoodingJr IceCube MorrisChestnut AngelaBassett NiaLong,JohnSingleton,Crime Drama,ColumbiaPictures
Breathing Fire,1991,tt0101509,https://m.media-amazon.com/images/M/MV5BMTgwMzA3NDQzOF5BMl5BanBnXkFtZTcwODQzMzU1MQ@@._V1_.jpg,69056,KeHuyQuan EddieSaavedra JerryTrimble BoloYeung EdNeil WendellCWhitaker,LouKennedy,Action,GoldenPacificFilms&Arts
A Brief History of Time,1991,tt0103882,https://m.media-amazon.com/images/M/MV5BNzQxMmM1M2YtYzY4NC00NWNhLTg3NjQtMWQ2ZmNmZTM4MzQ2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg,1358,StephenHawking IsobelHawking JanetHumphrey MaryHawking BasilKing DerekPowney,ErrolMorris,Documentary,TBS ITV NBC
Bugsy,1991,tt0101516,https://m.media-amazon.com/images/M/MV5BMjIzMTgwODE0Nl5BMl5BanBnXkFtZTgwNzgyMDUxMDE@._V1_.jpg,10337,WarrenBeatty AnnetteBening HarveyKeitel BenKingsley ElliottGould JoeMantegna,BarryLevinson,Crime Drama Mystery,BaltimorePictures TriStarPictures
The Butcher's Wife,1991,tt0101523,https://m.media-amazon.com/images/M/MV5BNDk0MWYxOTAtNGYwOC00OWMzLWFhNGEtYWNhNWNiMmEzMTIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,20096,DemiMoore JeffDaniels GeorgeDzundza MarySteenburgen FrancesMcDormand MargaretColin,TerryHughes,Fantasy Comedy ScienceFiction Romance,Paramount
By the Sword,1991,tt0101524,https://m.media-amazon.com/images/M/MV5BZTY4ODhmYTEtMTYxZi00ZmFlLWFiYTAtNTk0ZTJjMjI1NDUwXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg,42570,FMurrayAbraham EricRoberts MiaSara ChristopherRydell ElaineKagan BrettCullen,JeremyKagan,Drama,FilmHorizon
Cape Fear,1991,tt0101540,https://m.media-amazon.com/images/M/MV5BNjdhNzZlYzYtYTBlNS00NTJiLWI2ZWUtMDI2YzI2MzM5NjY4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,1598,RobertDeNiro NickNolte JessicaLange JulietteLewis JoeDonBaker RobertMitchum,MartinScorsese,Crime Thriller Drama,UniversalPictures AmblinEntertainment CappaProductions TribecaProductions
Career Opportunities,1991,tt0101545,https://m.media-amazon.com/images/M/MV5BNTJmMjI5NTktMTE5NS00MWFhLTk5N2UtYjJhMTcxMmRiYWFlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_.jpg,16270,JenniferConnelly FrankWhaley DermotMulroney KieranMulroney JohnMJackson JennyOHara,BryanGordon,Romance Comedy,HughesEntertainment
Children of the Night,1991,tt0103957,https://m.media-amazon.com/images/M/MV5BZmUzZWYzOTgtZDQ4OS00ZGYzLTlmMWYtN2E5ZDJmNjM4MDFmXkEyXkFqcGdeQXVyMzU4ODM5Nw@@._V1_.jpg,61054,KarenBlack PeterDeLuise AmiDolenz MayaMcLaughlin EvanMacKenzie GarrettMorris,TonyRandel,Horror,FangoriaFilms ColumbiaPictures
Child's Play 3,1991,tt0103956,https://m.media-amazon.com/images/M/MV5BOTRjYWVhNjAtMjIwOC00NjU3LTliZTAtMjczMmEwMzQ5Y2Y3XkEyXkFqcGdeQXVyMjQwNTU1NTc@._V1_.jpg,11187,JustinWhalin PerreyReeves JeremySylvers TravisFine DeanJacobson BradDourif,JackBender,Horror Thriller,UniversalPictures
Chuck Amuck: The Movie,1991,tt0299674,https://m.media-amazon.com/images/M/MV5BNjY3MDcyNWYtMWI2ZC00OGVlLTlhZWQtZmYxYjNiYjBlNzM5XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,286938,DickVosburgh ChuckJones,JohnNeedham,Documentary,MoondanceFilms
City of Hope,1991,tt0101588,https://m.media-amazon.com/images/M/MV5BMWMzOTA2YWUtZTJkMC00OTQ4LWI2ODktZTc1NDk1MjEzMGFhXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg,1772,VincentSpano TonyLoBianco JoeMorton JaceAlexander ToddGraff FrankieFaison,JohnSayles,Drama,EsperanzaFilmsInc TheSamuelGoldwynCompany
City Slickers,1991,tt0101587,https://m.media-amazon.com/images/M/MV5BMTkwNjM2MTc5NF5BMl5BanBnXkFtZTcwMzQ2NjEzNA@@._V1_.jpg,1406,BillyCrystal DanielStern BrunoKirby PatriciaWettig HelenSlater LindsayCrystal,RonUnderwood,Comedy Western,CastleRockEntertainment NelsonEntertainment FaceProductions
Class Action,1991,tt0101590,https://m.media-amazon.com/images/M/MV5BNWY5Mjk4ZmItMTAzYS00NWE3LWEzYzYtNDgzY2MwMzA3MDIzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,15771,GeneHackman MaryElizabethMastrantonio ColinFriels JoannaMerlin LaurenceFishburne DonaldMoffat,MichaelApted,Drama Crime,InterscopeCommunications 20thCenturyFox
Closet Land,1991,tt0101597,https://m.media-amazon.com/images/M/MV5BNTc4MDhlYTgtNzk3Ni00MTcwLWEwYzMtZThjZWYxNTA0ZjIyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg,58648,AlanRickman MadeleineStowe,RadhaBharadwaj,Drama Thriller,UniversalPictures ImagineEntertainment
Cold Heaven,1991,tt0103982,https://m.media-amazon.com/images/M/MV5BOTNjM2RlM2MtZmUzZS00NzVmLWExNzYtNTllNmJiZDNhYTZmXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_.jpg,107254,TheresaRussell MarkHarmon JamesRusso WillPatton RichardBradford JulieCarmen,NicolasRoeg,Drama Thriller,ManagementCompanyEntertainmentGroup(MCEG) SterlingEntertainmentCompany Hemdale SchwartzmanPictures
The Commitments,1991,tt0101605,https://m.media-amazon.com/images/M/MV5BNTRiMmUyMTMtMmI1Ny00MmUyLWJmZGUtNDVhMWMxNDA3OGNiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,11663,RobertArkins MichaelAherne AngelineBall MariaDoyleKennedy DaveFinnegan BronaghGallagher,AlanParker,Comedy Drama Music,BeaconPictures BeaconCommunications FirstFilmCompany DirtyHandsProductions
Company Business,1991,tt0101606,https://m.media-amazon.com/images/M/MV5BMDU1YTNjMDctNmQyNS00OTU3LThkYzYtYmU4YzAxNDYzYzhmXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,32074,GeneHackman MikhailBaryshnikov KurtwoodSmith TerryOQuinn DanielvonBargen OlegRudnik,NicholasMeyer,Action Thriller,Metro-Goldwyn-Mayer
Cool as Ice,1991,tt0101615,https://m.media-amazon.com/images/M/MV5BNzU4Mzg3MjYtNmNiNS00Y2Q5LWFlMTYtMWUzOTVmMjhmZmM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,1496,VanillaIce KristinMinter NaomiCampbell DeezerD KevinHicks AllisonDean,DavidKellogg,Romance Music Comedy,UniversalPictures AliveFilms Koppelmann/Bandier-CarnegiePictures Capella
Critters 3,1991,tt0101627,https://m.media-amazon.com/images/M/MV5BZjg3MGU1MjctYTRjZS00YjRmLTg3OGYtNGFkM2E0YjNjMTZlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,12702,JohnCalvin AimeeBrooks ChristianCousins JosephCousins WilliamDennisHunt NinaAxelrod,KristinePeterson,Comedy Horror ScienceFiction,OHFilms NewLineCinema
Crooked Hearts,1991,tt0101629,https://m.media-amazon.com/images/M/MV5BNTQyZjkzOWYtMDRlNS00NmYxLTljMWYtOTQzZWY1MjdkOWFjXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg,93002,PeterBerg VincentDOnofrio NoahWyle JulietteLewis JenniferJasonLeigh PeterCoyote,MichaelBortman,Romance Drama,Metro-Goldwyn-Mayer A&MFilms
Curly Sue,1991,tt0101635,https://m.media-amazon.com/images/M/MV5BYTc1OWM0YWQtN2NjNS00NTlkLWE2YzktMmQwOTMxMGFhNmEzXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_.jpg,11894,JimBelushi AlisanPorter KellyLynch JohnGetz SteveCarell FredDaltonThompson,JohnHughes,Comedy Drama Family Romance,HughesEntertainment WarnerBrosPictures
The Dark Backward,1991,tt0101660,https://m.media-amazon.com/images/M/MV5BNmVjNjk2MmMtMGViMy00YWE1LWFjMjctOWZhM2E3MGRiNWZjXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg,69342,JuddNelson BillPaxton WayneNewton LaraFlynnBoyle JamesCaan RobLowe,AdamRifkin,Comedy,BackwardFilms Elwes/WymanProductions LADreamsProductions
The Dark Wind,1991,tt0101664,https://m.media-amazon.com/images/M/MV5BNzBiZDZjOWEtMDllMi00MjNkLTgwNmUtYWY4M2Q5ZGRlNDYzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg,91396,LouDiamondPhillips FredWard LanceBaker BettyCBarlow GaryBasaraba GuyBoyd,ErrolMorris,Drama Thriller,SilverPictures SevenArtsPictures LeStudioCanal+ CarolcoPictures
Daughters of the Dust,1991,tt0104057,https://m.media-amazon.com/images/M/MV5BMjA4MDMxNzQ2NV5BMl5BanBnXkFtZTgwOTQwMTkwMDI@._V1_.jpg,68427,CoraLeeDay AlvaRogers BarbaraOJones TrulaHoosier UmarAbdurrahamn AdisaAnderson,JulieDash,Drama Romance,WMGFilm AmericanPlayhouse GeecheeGirls
Dead Again,1991,tt0101669,https://m.media-amazon.com/images/M/MV5BZmM1Zjc3YTEtNDM4OC00ODI5LTlmMmUtYmIyZWZhNGJiYzZjXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,11498,KennethBranagh AndyGarcía EmmaThompson RichardEaston JoAnderson RobinWilliams,KennethBranagh,Thriller Romance Mystery,Paramount MirageEnterprises RenaissanceTheatreCompany
Deceived,1991,tt0101694,https://m.media-amazon.com/images/M/MV5BOWFhN2I2YjQtYjJhYS00NzMxLWI4YzgtNTdlNzhhOGU1MTNlXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,28455,GoldieHawn JohnHeard AshleyPeldon RobinBartlett TomIrwin AmyWright,DamianHarris,Thriller,TouchstonePictures
December,1991,tt0101695,https://m.media-amazon.com/images/M/MV5BMjAzNzYxNTM2OV5BMl5BanBnXkFtZTcwNjI4MTUyMQ@@._V1_.jpg,242680,WilWheaton JasonLondon BrianKrause ChrisYoung BalthazarGetty RobertMiller,GabeTorres,Drama,IRSMedia
Defending Your Life,1991,tt0101698,https://m.media-amazon.com/images/M/MV5BNTE4M2NmOTgtMjVhOS00MTY3LWFmMjAtMWRhYmI1YzE3NWY0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,12186,AlbertBrooks MerylStreep RipTorn LeeGrant MichaelDurrell JamesEckhouse,AlbertBrooks,Comedy Fantasy Romance,GeffenPictures
Defenseless,1991,tt0099397,https://m.media-amazon.com/images/M/MV5BNmI4YzlkNzMtZDE0Zi00YmRiLWJjNjQtNTIwOTJiMjlhYjgxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,41787,BarbaraHershey SamShepard MaryBethHurt JTWalsh KellieOverbey JayOSanders,MartinCampbell,Thriller Mystery,NewVisionsPictures SevenArtsPictures CarolcoPictures
Delirious,1991,tt0101701,https://m.media-amazon.com/images/M/MV5BMTA0NTcwMjAwMzdeQTJeQWpwZ15BbWU3MDg4MTA4MzQ@._V1_.jpg,28117,JohnCandy MarielHemingway EmmaSamms RaymondBurr DylanBaker CharlesRocket,TomMankiewicz,Fantasy Comedy Romance,Metro-Goldwyn-Mayer
Delta Force 3: The Killing Game,1991,tt0101702,https://m.media-amazon.com/images/M/MV5BMzhhMzFkMDItYTI0NS00ZTg0LTlmNzAtNzE5NWQxMzg2MmUzXkEyXkFqcGdeQXVyNzEyNjE5NzM@._V1_.jpg,26340,NickCassavetes EricDouglas MikeNorris MarkIvanir MatthewPenn JohnSaintRyan,SamFirstenberg,Action Adventure,GlobalPictures CannonGroup
Do or Die,1991,tt0101744,https://m.media-amazon.com/images/M/MV5BNDczODhhZmYtNWE2OS00ZTk5LTg2MTgtNTMyM2Y0Mjc2OTE0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg,35739,PatMorita ErikEstrada DonaSpeir RobertaVasquez BrucePenhall CynthiaBrimhall,AndySidaris,Action Thriller,MalibuBayFilms
Doc Hollywood,1991,tt0101745,https://m.media-amazon.com/images/M/MV5BNTcwMjZlZTgtM2VlMC00MDZkLWIzODQtMDRhZjE0N2QzMTgwXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_.jpg,11821,MichaelJFox JulieWarner BarnardHughes WoodyHarrelson DavidOgdenStiers FrancesSternhagen,MichaelCaton-Jones,Comedy Romance,WarnerBrosPictures
The Doctor,1991,tt0101746,https://m.media-amazon.com/images/M/MV5BNzc5NTVlYmItYjI3NC00NzljLWE3MGYtNDgxZjYwYzYxNTIyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg,26142,WilliamHurt ChristineLahti ElizabethPerkins MandyPatinkin AdamArkin CharlieKorsmo,RandaHaines,Drama,TouchstonePictures
Dogfight,1991,tt0101748,https://m.media-amazon.com/images/M/MV5BOTVkMGIxNzUtZTQ3NC00NDZiLThhYWMtY2JkZDRjMTYzZGJiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,14667,RiverPhoenix LiliTaylor RichardPanebianco AnthonyClark MitchellWhitfield HollyNear,NancySavoca,Comedy Drama Romance,WarnerBrosPictures
Don't Tell Mom the Babysitter's Dead,1991,tt0101757,https://m.media-amazon.com/images/M/MV5BY2RhNWNlMzctMjQzNi00M2M5LTk5MjYtMWU0MjQ0Nzk0MDQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,15413,ChristinaApplegate JoannaCassidy JohnGetz JoshCharles KeithCoogan ConcettaTomei,StephenHerek,Comedy Family,OutlawProductions CinemaPlus Douglas HBO Mercury
The Doors,1991,tt0101761,https://m.media-amazon.com/images/M/MV5BYTg3YjA5MGYtYjdiNy00YThjLWJiZDEtN2M1NmE1NTVhMWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,10537,ValKilmer MegRyan KyleMacLachlan FrankWhaley KevinDillon MichaelWincott,OliverStone,Music Drama History,IxtlanProductions ImagineEntertainment BillGrahamFilms CarolcoPictures
Double Impact,1991,tt0101764,https://m.media-amazon.com/images/M/MV5BNDFkNGY3Y2ItODA0MS00NWUwLWFjMTktZmEyYTQxZjFhMmZiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg,9594,Jean-ClaudeVanDamme GeoffreyLewis AlonnaShaw BoloYeung CoryEverson PhilipChanYan-Kin,SheldonLettich,Thriller Action Crime Drama,StoneGroupPictures VisionInternational ColumbiaPictures
Drop Dead Fred,1991,tt0101775,https://m.media-amazon.com/images/M/MV5BMDNkZWIzZjktYWNkMi00MTQ2LWIyMTgtMmJhOGRiZDZlNmU4XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_.jpg,10379,PhoebeCates RikMayall MarshaMason TimMatheson CarrieFisher KeithCharles,AtedeJong,Comedy Fantasy Family,NewLineCinema PolyGramFilmedEntertainment WorkingTitleFilms Film4Productions
Dutch,1991,tt0101786,https://m.media-amazon.com/images/M/MV5BYmMzY2FhOTgtNjA1OC00ODIyLTgzNWYtMjMwNzUxZDA3NmY1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg,25330,EdONeill EthanEmbry JoBethWilliams ChristopherMcDonald AriMeyers ElizabethDaily,PeterFaiman,Comedy,HughesEntertainment 20thCenturyFox
Dying Young,1991,tt0101787,https://m.media-amazon.com/images/M/MV5BMGJiYjYxZjYtY2FmMi00ODUyLTlkMTktZmM2ZDBjODc5MTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,9079,JuliaRoberts CampbellScott VincentDOnofrio ColleenDewhurst DavidSelby EllenBurstyn,JoelSchumacher,Drama Romance,20thCenturyFox
Edge of Honor,1991,tt0101797,https://m.media-amazon.com/images/M/MV5BYTNlYzlhMzMtYWUwYS00MTFkLThmY2YtY2EwNDE4MWRiNWE2XkEyXkFqcGdeQXVyNDIzNTY0MjI@._V1_.jpg,99196,CoreyFeldman MeredithSalenger AlexSashaWalkup BenjaminTroy DonSwayze KenJenkins,MichaelSpence,Adventure Action Drama Thriller,MeritBadgeProductions TheGuerrillaFilmUnit WindRiverProductions
Ernest Scared Stupid,1991,tt0101821,https://m.media-amazon.com/images/M/MV5BZDA4MzIxY2EtYzQxMy00MmJkLWI1ODktNzFjMDM0Yzg4YjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,32685,JimVarney EarthaKitt ShayAstar BillByrge AustinNagler JohnCadenhead,JohnCherry,Comedy Family Fantasy Horror,TouchwoodPacificPartners1 TouchstonePictures
Eve of Destruction,1991,tt0101831,https://m.media-amazon.com/images/M/MV5BYTE2OGNlMmItMGU3MC00MDZiLWE3YTYtOWI1NWI2ODNiNzRjXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_.jpg,45096,GregoryHines RenéeSoutendijk MichaelGreene KurtFuller JohnMJackson LorenHaynes,DuncanGibbins,ScienceFiction Action Thriller,InterscopeCommunications NelsonEntertainment
Eye of the Storm,1991,tt0101842,https://m.media-amazon.com/images/M/MV5BODQ4OGZhMDQtNDZkMS00MzdiLTg5OWUtYzBkYmNlZjI0ZjlmXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg,246909,LaraFlynnBoyle BruceGray BradleyGregg DennisHopper AllyWalker CraigSheffer,YuriZeltser,Thriller Romance,NewLineCinema
Eyes of an Angel,1991,tt0101844,https://m.media-amazon.com/images/M/MV5BYzdhYTU0MDMtZTI3Zi00MGJiLWI3N2UtNTk1N2Q3OTY4NmRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,50677,JohnTravolta EllieRaab TitoLarriva RichardEdson VincentGuastaferro JeffreyDeMunn,RobertHarmon,Drama,TransWorldEntertainment(TWE)
Father of the Bride,1991,tt0101862,https://m.media-amazon.com/images/M/MV5BYzM0YzBmMTUtN2RmZS00YWY5LWFkZTMtMjM1OWU3Nzk4ZjI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,11846,SteveMartin DianeKeaton KimberlyWilliams-Paisley KieranCulkin GeorgeNewbern MartinShort,CharlesShyer,Comedy Romance,TouchstonePictures SandollarProductions
Final Approach,1991,tt0101874,https://m.media-amazon.com/images/M/MV5BNTJkMmFmZDItMjI4ZC00NzQwLWE3NDQtOGZlNjk3OGZhNDVhXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_.jpg,41385,HectorElizondo CameoKneuer JamesBSikking KevinMcCarthy MadolynSmithOsborne WayneDuvall,EricStevenStahl,Action Horror Mystery ScienceFiction Thriller,FilmquestPictures TrimarkPictures
Fires Within,1991,tt0101882,https://m.media-amazon.com/images/M/MV5BMTIwMjAxMzE2M15BMl5BanBnXkFtZTcwNDUxMTYyMQ@@._V1_.jpg,257795,JimmySmits GretaScacchi VincentDOnofrio LuisÁvalos BertilaDamas RaúlDávila,GillianArmstrong,Thriller Drama,Metro-Goldwyn-Mayer
The Fisher King,1991,tt0101889,https://m.media-amazon.com/images/M/MV5BOGZmMDM1NTQtMzc0Yi00ODRiLWJjYjQtMGRmYWRlOTY2ODMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,177,JeffBridges RobinWilliams MercedesRuehl AmandaPlummer MichaelJeter LaraHarris,TerryGilliam,Comedy Drama,TriStarPictures
The Five Heartbeats,1991,tt0101891,https://m.media-amazon.com/images/M/MV5BNzRlZDY4N2QtNjZlNS00MGNmLTk5ZTktNDMyM2M5ZTM3YTJhXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,29475,RobertTownsend MichaelWright Leon HarryLennix TicoWells DiahannCarroll,RobertTownsend,Drama Music,20thCenturyFox
Flight of the Intruder,1991,tt0099587,https://m.media-amazon.com/images/M/MV5BM2NiZDFhNzUtNGEwZS00ZGIyLTlhMjItNDI4ZTFjNWNlZjdiL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_.jpg,18886,DannyGlover WillemDafoe BradJohnson RosannaArquette TomSizemore JKennethCampbell,JohnMilius,Action War,Paramount
For the Boys,1991,tt0101902,https://m.media-amazon.com/images/M/MV5BOGNkYTQwMDYtZDZiMS00Njk5LTk4OWMtZTEzNDM5N2VhNmQ4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg,25221,BetteMidler JamesCaan GeorgeSegal PatrickONeal ChristopherRydell AryeGross,MarkRydell,Drama Music,AllGirlProductions 20thCenturyFox
